"Name";"OperatingSystem";"IPv4Address"
"FRSPRINV001";"Windows Server 2022 Standard";"172.31.215.185"
"FRSPRNIT001";"Windows Server 2019 Standard";"172.31.215.21"
"FRSPRNIT002";"Windows Server 2016 Standard";"172.31.215.91"
"EPDM-DB";"Windows Server 2016 Standard";"172.31.136.244"
"FRADA11";"Windows Server 2016 Standard";"172.20.220.11"
"FRADA12";"Windows Server 2016 Standard";"172.20.220.12"
"FRADA16";"Windows Server 2022 Standard";"172.31.212.16"
"FRASN08";"Windows Server 2019 Standard";"172.31.100.217"
"FRAUT42";"Windows Server 2019 Standard";"172.20.210.42"
"FRAUT43";"Windows Server 2012 R2 Standard";"172.20.210.43"
"FRBCK02";"Windows Server 2019 Standard";"172.31.212.244"
"FRBCK11";"Windows Server 2019 Standard";"172.31.213.100"
"FRBI401";"Windows Server 2012 R2 Standard";"172.31.212.193"
"FRBI496";"Windows Server 2012 R2 Standard";"172.31.212.247"
"FRBI497";"Windows Server 2012 R2 Standard";"172.31.215.120"
"FRBI498";"Windows Server 2012 R2 Standard";
"FRBI499";"Windows Server 2012 R2 Standard";
"FRBZT01";"Windows Server 2019 Standard";"172.31.212.142"
"FRBZT97";"Windows Server 2012 R2 Standard";"172.31.212.183"
"FRBZT99";"Windows Server 2019 Standard";"172.31.212.144"
"FRCAM10";"Windows Server 2019 Standard";"172.31.210.72"
"FRCHM01";"Windows Server 2019 Standard";"172.31.213.129"
"FRCOM02";"Windows Server 2019 Standard";"172.31.212.106"
"FRCRM22";"Windows Server 2012 Standard";"172.31.210.122"
"FRCRM25";"Windows Server 2012 Standard";"172.31.12.60"
"FRCUB01";"Windows Server 2019 Standard";"172.31.212.13"
"FRDEV01";"Windows Server 2008 R2 Standard";"172.31.212.152"
"FRDFS01";"Windows Server 2019 Standard";"172.31.212.57"
"FRECM97";"Windows Server 2012 R2 Standard";"172.31.213.77"
"FRECO01";"Windows Server 2012 R2 Standard";"172.31.212.150"
"FRECO97";"Windows Server 2012 R2 Standard";"172.31.215.105"
"FRECO98";"Windows Server 2012 R2 Standard";"172.31.215.226"
"FRECO99";"Windows Server 2012 R2 Standard";"172.31.215.224"
"FRELI01";"Windows Server 2019 Standard";"172.31.213.127"
"FRELI99";"Windows Server 2019 Standard";"172.31.213.128"
"FRFIL01";"Windows Server 2019 Standard";"172.31.212.38"
"FRFIL02";"Windows Server 2019 Standard";"172.31.212.56"
"FRFIL03";"Windows Server 2019 Standard";"172.31.212.226"
"FRGEN11";"Windows Server 2003";"172.31.210.182"
