"Name";"IP Address"
"FRSTSXFP001";"172.31.203.233"
"SASPRPRX001";"172.20.187.6"
"CNWTS365001";"172.31.160.97"
"SASPRPRN001";"172.20.187.5"
"FRSPRLYO005";"172.31.203.174"
"FRSVAAQW002";"169.254.2.95"
"DESPRVPX001";"172.20.167.19"
"FRXFP92";"172.31.103.235"
"USPARFWSTAGO02";"172.31.1.211"
"FRSPRLYO006";"172.31.203.175"
"DESDVQPU001";"172.20.167.16"
"FRCUV01";"172.20.210.198"
"BRWPRITL001";"172.31.184.83"
"UKREAFWSTAGO01";"195.224.87.147"
"FRXFP52";"172.31.103.228"
"FRSPPAQW002";"172.31.203.187"
"AUSPRPRN001";"172.20.185.10"
"FRAUT42";"172.20.210.42"
"USVEM15";"172.20.171.226"
"AUMELFWSTAGO02";"172.31.5.99"
"INWPRSCM001";"172.31.199.71"
"FRSVAPRX001";"172.20.211.22"
"FRBIO08";
"AUWPRSCM001";"172.31.185.219"
"FRSPRAUT052";"172.30.108.22"
"FRSPRAQW001";"169.254.2.244"
"FRAUT36";
"CNSPR365001";"172.31.70.52"
"DEWPRQPU003";"172.31.167.112"
"FRSPRPRN006";"172.20.145.10"
"IEWPRQPU002";"172.31.165.69"
"DiagdevDev1";"172.31.246.188"
"CNSPRAT2001";"172.31.160.250"
"FRSPRCSO001";"172.20.211.25"
"AUSPRDHC001";"172.20.185.250"
"FRXFP53";"172.31.103.229"
"BRSPRDHC001";"172.20.184.250"
"USVEM14";"172.20.174.226"
"FRAUT35";
"FRSPRSAD001";"172.20.70.6"
"AUMEL11";"172.20.185.243"
"FRXFP62";"172.31.103.231"
"CNSPRNAC001";"172.20.164.6"
"FRCUV97";"172.31.211.221"
"CNSPRCEN013";"172.20.164.230"
"CNSPRATA001";"172.20.161.75"
"BRSAOFWSTAGO002";"201.48.188.50"
"CNSTSOCS001";
"UKREA09";
"DEWPRQPU002";"172.31.167.161"
"FRSTSBIO001";
"FRSPRAQW003";"172.31.203.215"
"USSPRDHC001";"172.20.171.250"
"FRSTSLNX001";
"StagoStar2";"172.31.1.44"
"INSPRDHC001";"172.20.199.250"
"AUPBX01";"192.168.0.19"
"FRLIM01";"172.20.70.70"
"FRAUT34";
"FRSPRLYO001";"172.16.0.9"
"USHOV01";"172.31.172.7"
"FRSPRLYO004";"172.31.95.47"
"FRSPRSQL019";"169.254.1.95"
"FRAUT61";"172.30.102.32"
"FRAUT51";
"FRSCM02";"172.31.211.194"
"FRSPRLYO002";"172.31.95.111"
"FRAUT31";"172.20.211.31"
"UKWPRSCM001";
"FRSPRLYO009";"172.31.203.178"
"FRSPRSQL017";"172.20.211.23"
"FRAUT33";
"FRSTSNET001";"172.20.74.20"
"FRXFP91";"172.31.103.234"
"BRSPRPRN001";"172.20.184.10"
"INSPRPRN001";"172.20.199.10"
"BRSAO08";"172.20.184.5"
"DiagdevJenkins";"172.31.246.193"
"BRSAO90";"172.20.184.243"
"FRSPRADC051";"172.20.134.243"
"FRWPRRSO001";"172.31.41.244"
"FRARTSCM11";"172.31.145.205"
"CNSPRATI001";"172.20.160.228"
"CNSPRVSC001";"172.31.161.11"
"DESPRQPU001";"172.20.167.17"
"USADA02";"172.20.171.243"
"FRGEN05";"172.31.112.160"
"SATSTPRX";"172.20.189.20"
"FRSPRLYO003";"172.31.203.179"
"DESPRSQL001";"172.20.167.18"
"Witness-vSAN-AQUIWEB";"172.31.203.249"
"AUWPRUPS001";"172.31.185.65"
"AUSEN01";
"FRSPRBGA001";"172.16.0.18"
"CNWTS365002";"172.31.93.52"
"FRLIM97";"172.20.74.6"
"USSPRDHC002";"172.20.174.250"
"BRAUT01";"172.31.184.244"
"Witness-vSAN-PR8";"172.20.50.17"
"IESPRVPX001";"172.20.165.12"
"FRSPRAQD001";"172.31.103.128"
"DiagdevRauc";"172.31.246.194"
"INPACK11";"172.31.199.53"
"INDEL08";"172.31.199.217"
"FRSVAAQW003";"172.31.203.144"
"FRSPRAUT051";"172.30.102.21"
"FRSPRPHX001";"172.20.132.7"
"USMTOFWSTAGO02";"172.31.1.219"
"HKPACK11";"172.31.110.68"
"FRSPRDHC006";"172.20.145.250"
"SASPRPRX002";"169.254.254.130"
"FRSPPAQW003";"172.31.203.188"
"CNSPRAT1001";"172.31.161.254"
"FRSPRMOD001";"172.20.70.38"
"FRSTAVFWSTAGO02";"172.20.70.1"
"FRSPRDHC008";"172.30.102.20"
"FRSPRSQL018";"169.254.2.6"
"DiagdevDev2";"172.31.246.189"
"FRSTSSQL006";"172.20.74.40"
"DiagdevGateway";"172.31.246.192"
"FRSPRAQW002";"169.254.1.71"
"CNSPRATL001";"172.20.161.190"
"DiagdevWindows";"172.31.246.166"
"FRSPRADC061";"172.20.145.243"
"DiagdevDev3";"172.31.246.190"
"USSMC01";"172.31.172.15"
"FRSPRLYO008";"172.31.203.177"
"AUMELFWSTAGO01";"172.31.4.233"
"TRSPRSQL001";"10.0.0.198"
"FRLIM98";"172.20.77.6"
"AUMEL08";"172.20.185.5"
"DiagdevDev4";"172.31.246.191"
"FRSVAAQW001";"169.254.1.214"
"FRSPPAQW001";"172.31.203.186"
"FRXFP90";"172.31.103.232"
"FRSTSAQW001";"172.31.203.212"
"FRAUT32";"172.30.108.27"
"StagoStar1";"172.31.1.43"
"FRSPRLYO007";"172.31.203.176"
"CNSPRATB001";"172.20.161.238"
"FRSPRAUT061";"172.30.102.22"
"FRSPRPRX001";"172.20.211.21"
"USADA04";"172.20.174.243"
"CNSPRHRP002";"172.31.161.204"
"CNSCM01";"172.31.160.122"
"IEBRA99";"172.20.165.8"
"CNSPRMSG001";"172.20.160.242"
"FRSPRPRN001";"172.31.203.210"
"CNCRM02";"172.20.161.168"
"CNGPS01";"172.31.70.192"
"CNPEK08";"172.31.161.217"
"DELEMFWSTAGO02";"172.31.5.67"
"IEBRAFWSTAGO";"172.31.4.241"
"CNMSG25";"172.31.161.207"
"IESPRPRN001";"172.20.165.10"
"CNFAC08";"172.31.161.5"
"CNSPRWEB002";"172.31.161.218"
"CNSPRPRN001";"172.31.161.10"
"DELEM11";"172.20.167.243"
"CNNLB02";"172.31.93.102"
"CNNAC01";"172.31.160.253"
"FRSPRFRW001";"172.20.87.230"
"IEWPRSCM001";"172.31.165.81"
"DESPRDMS001";"172.20.167.9"
"FRXFP03";"172.31.103.223"
"DESQL01";
"CNSPRMFP001";"172.31.161.201"
"CNSPRPRX002";"169.254.254.130"
"DESPRPDM001";"172.20.167.15"
"CNSPRCEN001";"172.31.160.238"
"colfwstago";"108.179.54.130"
"FRSPRVCT001";"172.20.50.32"
"FRXFP51";"172.31.103.226"
"IESPRDHC001";"172.20.165.250"
"DELEM08";"172.20.167.5"
"CNSPRMSG003";"172.20.160.243"
"IESPRSQL001";"172.20.165.11"
"CNSPRWSU001";"172.31.161.222"
"DEWPRSCM001";"172.31.167.73"
"CNSPRPR8001";"172.31.161.221"
"FRXFP02";"172.31.103.222"
"IEBRA08";"172.20.165.5"
"CNSPRPKI002";"172.20.161.252"
"CNPEKFWMGT";"172.31.160.10"
"IEWPRLIC001";"172.20.165.9"
"FRXFP12";"172.31.103.225"
"FRSPRFRW002";"172.20.87.231"
"CNMSG50";"172.31.70.44"
"CNPEK06";"172.20.161.165"
"DELEMFWSTAGO";"91.249.211.186"
"CNPEKFW01";"172.20.161.241"
"DEWPRUPS001";"172.31.167.81"
"IEBRAFWSTAGO02";"172.20.166.1"
"CNNLB01";"172.31.93.101"
"FRXFP11";"172.31.103.224"
"IESPRAUT002";"172.31.165.225"
"FRSPRDHC007";"172.31.203.250"
"IEBRA14";"172.20.165.7"
"CNPEK90";"172.20.161.244"
"CNSPRDHC001";"172.20.161.250"
"FRXFP01";"172.31.103.221"
"CNSEC07";"172.31.161.213"
"FRAUT43";
"CNSDVWEB001";"172.31.161.199"
"CNSPRPBX01";"172.31.161.185"
"CNSPRPRX001";"172.31.161.246"
"CNPEK21";"172.20.161.243"
"CNSPRPRN002";"172.31.161.7"
"CNSPRRSO001";"172.31.10.42"
"DESPRLHR001";"172.20.167.13"
"CNWPRADM001";"172.31.4.177"
"IEBRA41";"172.20.165.243"
"DESPRPRN002";"172.20.167.10"
