"nom";"Environnement";"Supervision";"Niveau de Service";"Criticité";"Statut";"Astreinte";"Alias";"Champ personnalisé 1";"Champ personnalisé 2";"Champ personnalisé 3";"Code";"Type"
"172.17.20.50";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.51";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.53";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.54";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.55";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.56";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.57";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.58";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.59";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.60";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.62";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.63";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Fin de vie";"Non";"DECOMMISSIONNE";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"DECOMMISSIONNE";"Physique"
"172.17.20.64";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.65";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Fin de vie";"Non";"DECOMMISSIONNE";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"DECOMMISSIONNE";"Physique"
"172.17.20.66";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.67";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.68";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Fin de vie";"Non";"DECOMMISSIONNE";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"DECOMMISSIONNE";"Physique"
"172.17.20.70";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.71";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.72";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.73";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.74";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.75";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.76";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.77";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.78";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.17.20.79";"production";"Oui";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.19.254.50";"production";"Non";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX PLATEFORME GSA";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.19.254.51";"production";"Non";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX PLATEFORME GSA";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.19.254.52";"production";"Non";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX PLATEFORME GSA";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.19.254.53";"production";"Non";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX PLATEFORME GSA";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.19.254.55";"production";"Non";"Supervision, Exploitation";"Moyenne";"Production";"Non";"1,1,1,0,1,C";"ESX OVH ROUBAIX PLATEFORME GSA";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
"172.21.106.50";"production";"Non";"Supervision";"Moyenne";"Fin de vie";"Non";"DECOMMISSIONNE";"TECHNIQUE";"ESX";"Roubaix";"DECOMMISSIONNE";"Physique"
"172.21.106.51";"production";"Non";"Supervision";"Moyenne";"Fin de vie";"Non";"";"TECHNIQUE";"ESX";"Roubaix";"";"Physique"
"172.21.106.52";"production";"Non";"Supervision, Exploitation";"Basse";"Fin de vie";"Non";"1,1,1,0,1,C";"ESX OVH STRASBOURG";"ESX";"PhysicalMachine";"Non Facturation";"Physique"
