"SERVER";"TYPE 1";"MODEL";"MARQUE";"TYPE 2";"APP";"VSI";"Criticit?";"DEPART";"RESP";"SITE";"Powerstate";"OS EDITOR";"OS VERSION";"Creation date";"Primary IP Address";"IDRAC / ILO";"Host";"Garantie"
"Admin-NIT-Opentext";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"NEURONES";;"Basse";"NEURONES";"NEURONES";"FRANCE/DATACENTER OVH/Roubaix";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";;;"172.17.20.59";
"AEDUB02";"PHYSICALSTAGO";"Dell Poweredge R320";"DELL";"STAGO - ONPREM";"FILER";"Non";"Basse";"INFRA";"GUINNEBAULT";"UNITED ARAB EMIRATES/DUBAI";"On";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.20.190.5";;;"19/08/2018 00:00:00"
"AEDUB04";"PHYSICALSTAGO";"Dell Poweredge R430";"DELL";"STAGO - ONPREM";"BCK";"Non";"Basse";"INFRA";"GUINNEBAULT";"UNITED ARAB EMIRATES/DUBAI";"On";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.20.190.226";;;"25/03/2020 00:00:00"
"AEPACK11";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"PACK";"Non";"Basse";"INFRA";"RAYMOND";"FRANCE/ASNI?RES";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"20/05/2022 16:31:18";"172.31.108.115";;"frspresx001.stago.grp";
"AgentTC01";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"11/05/2022 09:41:14";"172.31.129.65";;"172.31.129.10";
"AgentTC02";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 09:56:36";"172.31.129.86";;"172.31.129.10";
"AgentTC03";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 09:58:47";"172.31.129.64";;"172.31.129.10";
"AgentTC04";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:00:59";"172.31.129.155";;"172.31.129.10";
"AgentTC05";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:03:07";"172.31.129.169";;"172.31.129.10";
"AgentTC06";"VMOVH";"VMWARE";"VMWARE";"OVH - Usine Logicielle";"TEAMCITY";"Non";"Basse";"R&D";"X. GOMEZ";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"10/08/2022 10:05:17";"172.31.129.153";;"172.31.129.10";
